universe_variant,strategy_name,sample_id,split_name,replay_rounds,universe_size,data_fail_excluded_count,metadata_excluded_count,liquidity_excluded_count,theme_balance_excluded_count,buy_count,no_trade_count,buy_rate,simulated_win_rate,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_forward_return_1d,average_forward_return_3d,average_forward_return_5d,average_forward_return_10d,average_forward_return_20d,median_forward_return_1d,median_forward_return_3d,median_forward_return_5d,median_forward_return_10d,median_forward_return_20d,average_win_dollars,average_loss_dollars,profit_factor,ending_account_value,max_drawdown,worst_trade_loss_percent,stopped_out_but_20d_positive_rate,top_profit_ticker_contribution_share,top_loss_ticker_contribution_share,top_profit_theme_contribution_share,top_loss_theme_contribution_share,median_ending_value_excluding_best_trade,executed_winner_count,executed_loser_count,winner_dollars,loser_dollars
current_watchlist_full,candidate34_frozen_baseline,5,calibration,100,98,19,19,0,0,28,72,0.28,0.39285714285714285,0.35714285714285715,0.5,0.39285714285714285,0.5714285714285714,0.4642857142857143,-0.0026495913067825067,0.026201671800295517,-0.00874439236443561,-0.002650126173609863,0.005239255190897014,-0.01796731630867432,0.0005941507865339646,-0.020264410480081374,0.012931585232637488,-0.0124942267177503,16.249861290826438,-9.25368649180596,1.1362624115987574,121.4358038383895,-0.32701364597729254,-0.15934890128859158,0.17857142857142858,0.24302210414435743,0.21812824168932327,0.24302210414435746,0.3915852611855346,80.06359444693182,11,17,178.74847419909082,157.3126703607013
current_watchlist_full,candidate35_trend_quality_frozen,5,calibration,100,98,19,19,0,0,86,14,0.86,0.5,0.5581395348837209,0.5465116279069767,0.5465116279069767,0.5465116279069767,0.6627906976744186,0.003711694217234669,0.01713324599696794,0.01623235995184566,0.05037587060730093,0.09387492964671176,0.002612396740451328,0.010334774233741295,0.008375445440663931,0.0206684592575469,0.04268365276240693,22.763636833493038,-16.27448371773475,1.3987317341862513,249.2505216624407,-0.4147382930593908,-0.11027338407781843,0.1956521739130435,0.18953522519592142,0.30200565505039134,0.41064271110452594,0.4128088923116856,198.6559043092737,23,23,523.5636471703399,374.31312550789926
current_watchlist_full,candidate34_frozen_baseline,6,calibration,100,98,19,19,0,0,34,66,0.34,0.4411764705882353,0.5294117647058824,0.5588235294117647,0.5882352941176471,0.5588235294117647,0.5882352941176471,0.007072747639387559,0.020568330057251873,0.02352059135429105,0.06716037217523146,0.1340721771644203,0.002852940862826392,0.02662938148250482,0.031048445422114268,0.028721435788701788,0.047847333483840515,24.085421839514243,-14.170694115000542,1.3418401781235014,192.03813940770337,-0.3898098574937452,-0.11909615184978878,0.17647058823529413,0.1574721268687733,0.15821371832991163,0.26738307068138745,0.2586382261647151,147.8449167351047,15,19,361.28132759271364,269.2431881850103
current_watchlist_full,candidate35_trend_quality_frozen,6,calibration,100,98,19,19,0,0,85,15,0.85,0.5853658536585366,0.5529411764705883,0.5647058823529412,0.6,0.6588235294117647,0.6470588235294118,0.005887483626148355,0.019132900346479003,0.023406777210151934,0.04208376047370336,0.07164759737117801,0.004822473166463892,0.00925286907505285,0.018917743679526478,0.0274367617545348,0.039835115650476594,29.379591753579337,-20.124110397146513,2.0610635646690127,463.0003253344134,-0.3010609026161536,-0.10305659087126802,0.14634146341463414,0.19813340202863536,0.19050927512030652,0.22535362754385213,0.3618485393528857,395.90868279825,24,17,705.1102020859041,342.10987675149073
current_watchlist_full,candidate34_frozen_baseline,7,calibration,100,98,19,19,0,0,34,66,0.34,0.5294117647058824,0.5882352941176471,0.4411764705882353,0.38235294117647056,0.5,0.47058823529411764,0.012388577798777426,0.017188318762579854,0.0010993946767374392,0.0387955534154018,0.0367137162240744,0.005421633540775517,-0.0169594905881037,-0.018860621627666663,0.0054613385954283,-0.00737283018751711,23.247163144686894,-17.452642127437223,1.4985157173799861,239.20666256536853,-0.3699776061956248,-0.12531593025784735,0.11764705882352941,0.19317611679774296,0.1667984402980421,0.213057398470833,0.4306667515689015,190.47875097588224,18,16,418.4489366043641,279.24227403899556
current_watchlist_full,candidate35_trend_quality_frozen,7,calibration,100,98,19,19,0,0,86,14,0.86,0.4666666666666667,0.6627906976744186,0.5581395348837209,0.5,0.627906976744186,0.5930232558139535,0.009538757408568842,0.013346309834295737,0.007498959599922739,0.023834843795765136,0.05501750797432235,0.009824478932831782,0.006474939939617452,0.001220559168907398,0.03221474311290906,0.033146094907768986,24.322146814456623,-14.79470064982912,1.438479829120122,255.69226750769025,-0.5297443250716609,-0.1204502262918181,0.17777777777777778,0.14180224301447,0.25820987684604535,0.34015152650346214,0.3664260427644485,202.54202283573233,21,24,510.7650831035892,355.0728155958989
current_watchlist_full,candidate34_frozen_baseline,8,calibration,100,98,19,19,0,0,36,64,0.36,0.4722222222222222,0.5,0.5,0.5277777777777778,0.5,0.5555555555555556,0.004861242403487882,0.01039674798407904,0.02025995315979766,0.03754133628491608,0.08285635026827645,-0.000630715171207108,-0.002516932043436393,0.009925033095555813,0.013663773039845895,0.028058277354771066,19.215445499828903,-11.46166038419966,1.5000241195301505,208.8910261972978,-0.37541389879871434,-0.12753709918715114,0.1111111111111111,0.15855157500849498,0.13529583182852994,0.2788880822433331,0.34555035358477076,164.58015642724777,17,19,326.66257349709133,217.77154729979355
current_watchlist_full,candidate35_trend_quality_frozen,8,calibration,100,98,19,19,0,0,89,11,0.89,0.5,0.5056179775280899,0.4943820224719101,0.5730337078651685,0.550561797752809,0.651685393258427,0.006300952932254012,0.011235720576639395,0.015459519939869909,0.013498201502929326,0.05760926868281238,0.0002307297942913955,0.0,0.017993140056504986,0.008304512641827966,0.03781168960702175,14.446385887858163,-11.232206662896374,1.2861574151390276,170.71194294915946,-0.335938298327621,-0.11204053524273519,0.18181818181818182,0.21123081365101712,0.12766623049462764,0.25650176304647837,0.5250898138828126,136.82558167580262,22,22,317.8204895328796,247.10854658372023
current_watchlist_full,candidate34_frozen_baseline,9,calibration,100,98,19,19,0,0,38,62,0.38,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.4473684210526316,0.5,0.5789473684210527,-0.01095674345269562,-0.01534202730427472,-0.021368227062626942,0.0072725340976121464,0.03355214826562359,-0.004667754978305405,0.0,-0.00920743903025062,0.0004154878653255256,0.03975329331789468,22.54104226989163,-9.953453540767931,1.3210431203850257,176.69170680005257,-0.35949006982216214,-0.18734533759922542,0.2631578947368421,0.1794977021966345,0.1282538981980758,0.3167079315303236,0.2972527285290868,133.3916446902416,14,24,315.57459177848284,238.88288497843035
current_watchlist_full,candidate35_trend_quality_frozen,9,calibration,100,98,19,19,0,0,87,13,0.87,0.5348837209302325,0.5517241379310345,0.5632183908045977,0.6551724137931034,0.5862068965517241,0.6436781609195402,0.003923008251089381,0.006719023572095155,0.014772406366772328,0.01686883165846248,0.04952587000982646,0.006172812511668679,0.0071794558794071595,0.02544599286155247,0.024507012165768005,0.04507594724017583,23.156423244091318,-16.082800200060415,1.6557991394188296,310.94173061289194,-0.3503724646392442,-0.11234244012420998,0.20930232558139536,0.1820803228527681,0.1745666992665441,0.2980115486444819,0.4387228987134209,264.3302679070072,23,20,532.5977346141003,321.6560040012083
