factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
return_10d,5,20,12005,0.055319703200989064,0.021761095899645255,0.5564348188254894,-0.9999999999999999,0.03997010521693913
return_20d,1,5,12345,0.0052974953484858,0.0008585729855405955,0.5049007695423249,-0.9999999981757448,0.0015061135320997396
return_20d,2,5,11761,0.006580577164795329,0.0039408515230914265,0.5289516197602244,-0.9932081989199741,0.0027692964309368666
return_20d,3,5,12292,0.006742735733953897,0.0037805921257876296,0.5291246339082329,-0.998637784710133,0.002946137014824849
return_20d,4,5,11761,0.0097648519558148,0.006140239615110676,0.5436612532947879,-0.9998535300750809,0.005953571221956336
return_20d,5,5,12305,0.013116700708609845,0.0063991513980912185,0.5363673303535148,-0.9999994493826624,0.009309258450910293
return_20d,1,10,12245,0.012190451388175734,0.003112780604053178,0.5123723968966926,-0.9999999999999994,0.004525525407298075
return_20d,2,10,11666,0.014174239301709702,0.006968573470727879,0.533944796845534,-0.9998523251544545,0.006471493688393788
return_20d,3,10,12193,0.01360767469155235,0.008190476725419504,0.5393258426966292,-0.9999594318701825,0.005931750863548064
return_20d,4,10,11666,0.01709962606986935,0.011167710669981679,0.5517743871078348,-0.9999999792040257,0.009396880456553434
return_20d,5,10,12204,0.026908160580303788,0.012028921254449099,0.5479351032448377,-0.9999999999879436,0.01920995628403015
