ticker,normalized_ticker,source_watchlist,source_watchlist_line_number,symbol_master_status,primary_exchange,listing_exchange,asset_type,security_name,is_etf,is_adr,is_spac_or_former_spac_if_detectable,is_recent_ipo_or_recent_listing,first_trade_date_from_ohlcv,last_trade_date_from_ohlcv,has_sufficient_factor_lookback,has_sufficient_forward_window,normalized_symbol_notes,validation_sources_used
TER,TER,True,89,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Teradyne, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
TGTX,TGTX,True,104,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"TG Therapeutics, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
TLN,TLN,True,68,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Talen Energy Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
TSLA,TSLA,True,57,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Tesla, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
TSM,TSM,True,6,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Taiwan Semiconductor Manufactur,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
TTD,TTD,True,42,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"The Trade Desk, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
U,U,True,40,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Unity Software Inc.,False,False,False,False,,,False,False,yfinance_metadata_rejected:keyword_excluded:UNIT,nasdaq_trader_other
UBER,UBER,True,36,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Uber Technologies, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
UPST,UPST,True,114,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Upstart Holdings, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
VKTX,VKTX,True,102,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"Viking Therapeutics, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
VST,VST,True,66,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Vistra Corp.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
XPEV,XPEV,True,61,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,XPeng Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
ZS,ZS,True,25,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Zscaler, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
