policy_name,split_name,sample_count,total_buy_count,median_buy_count,minimum_buy_count,median_no_trade_count,median_buy_rate,worst_sample_ending_value,median_ending_account_value,worst_max_drawdown,median_simulated_win_rate,median_accuracy_1d,median_accuracy_3d,median_accuracy_5d,median_accuracy_10d,median_accuracy_20d,median_profit_factor,worst_trade_loss_percent,max_top_ticker_loss_share,max_top_theme_loss_share,median_ending_value_excluding_best_trade,total_excluded_trades,total_excluded_loser_count,total_excluded_winner_count,excluded_loser_dollars_avoided,excluded_winner_dollars_missed,median_overlay_false_positive_rate,median_overlay_false_negative_rate
overlay_theme_loss_cooldown_10pct_5,validation,10,840,83.5,81,16.5,0.835,153.194508926801,218.80382875789985,-0.6062782282961536,0.48858329008822,0.5456349206349207,0.5476460578559275,0.5421686746987951,0.5798543009246288,0.632996632996633,1.4185190153073877,-0.12179779238051723,0.30762687205106976,0.521528851699007,180.52433294071534,36,21,15,136.52652938038943,149.96899103314547,0.325,0.5114167099117799
overlay_theme_loss_cooldown_10pct_8,calibration,10,792,79.0,77,21.0,0.79,139.1195996830811,212.19671274491776,-0.6005089523787451,0.5060975609756098,0.5612720612720612,0.5668614086335606,0.5849952516619183,0.5888247554914221,0.6538461538461539,1.4227477485145985,-0.12261704357715543,0.4469049785391774,0.4638514019186745,175.94335286256302,70,35,35,232.13628156403092,396.47368175969854,0.375,0.49390243902439024
overlay_theme_loss_cooldown_10pct_8,holdout,10,834,82.0,78,18.0,0.82,185.71675971576198,242.24172385535974,-0.5097140975788821,0.5168269230769231,0.5423901940755873,0.5465116279069767,0.5540501165501166,0.5766335441132189,0.6470343680709534,1.5107795844199217,-0.12440019445259948,0.29719856452393845,0.4688027899175829,201.81172275536483,60,31,29,205.59402183260204,309.9635039107462,0.3125,0.4831730769230769
overlay_theme_loss_cooldown_10pct_8,validation,10,814,81.0,78,19.0,0.81,153.90682516207085,225.21494061027323,-0.6063371099923155,0.4935897435897436,0.5410731244064577,0.5521084337349398,0.553639846743295,0.58125,0.6366538952745849,1.444080401480552,-0.11986596115283897,0.31123490568648393,0.4957991495039358,181.78193583495346,62,36,26,251.4947415167941,313.27789811611217,0.3333333333333333,0.5064102564102564
overlay_theme_loss_cooldown_5pct_3,calibration,10,660,65.0,63,35.0,0.65,111.95202058376626,153.5293722017838,-0.4691667789895865,0.46561969439728357,0.515527950310559,0.5,0.5324016563146998,0.5703125,0.615530303030303,1.274248999291214,-0.12217553339751028,0.25524804019532193,0.6313292009092376,121.24769622039834,202,73,129,549.1935759015757,1565.88569941984,0.5938215102974829,0.5343803056027165
overlay_theme_loss_cooldown_5pct_3,holdout,10,700,70.0,67,30.0,0.7,87.42300879723724,181.9062619590083,-0.4319379306288105,0.48684210526315785,0.5110842844600527,0.5147058823529411,0.5460314262691377,0.5514817218256544,0.6027397260273972,1.4698183213655907,-0.11951010740467115,0.28039030357105227,0.5966487956321329,156.3335163732942,194,78,116,591.0780924000052,1417.5222787795756,0.5900621118012422,0.513157894736842
overlay_theme_loss_cooldown_5pct_3,validation,10,676,67.0,64,33.0,0.67,82.82223015431029,130.05896712221465,-0.4250249024038256,0.461100569259962,0.5454963235294117,0.499777183600713,0.5183758802816901,0.5517316017316016,0.5969345484672742,1.184759576996024,-0.12449563575966771,0.19899644942991182,0.6384186305871005,105.29935683192565,200,79,121,583.0983474525717,1454.7599403136126,0.5714285714285714,0.5388994307400379
overlay_theme_loss_cooldown_5pct_5,calibration,10,602,60.5,56,39.5,0.605,105.22266861275303,198.64657019083893,-0.4765468916573776,0.5075757575757576,0.5283368644067796,0.5122950819672132,0.577198093220339,0.6161629098360656,0.6434624697336562,1.5315557199657788,-0.12126382649830748,0.2604862531532829,0.5999112999041193,155.85508603354913,260,127,133,923.9252173201686,1584.1057428361362,0.4907407407407407,0.49242424242424243
overlay_theme_loss_cooldown_5pct_5,holdout,10,633,63.0,60,37.0,0.63,101.78103193555587,185.14815271738652,-0.46550765858959886,0.47969924812030074,0.5358974358974359,0.5239415322580645,0.5481782265144863,0.5743781094527363,0.6317879098360656,1.4770960704216327,-0.12135278356335685,0.26517286285944747,0.46069358391359533,149.14738217769406,261,131,130,948.732866553033,1596.0893627922885,0.49862637362637363,0.5203007518796992
overlay_theme_loss_cooldown_5pct_5,validation,10,613,61.0,57,39.0,0.61,106.39901955427469,173.03928283221433,-0.4445169078571455,0.48484848484848486,0.5239583333333333,0.516141235813367,0.5283368644067796,0.5677966101694916,0.6062748015873016,1.3516911950907233,-0.12180293800680356,0.25748733179618516,0.5254107297672823,132.25076023524204,263,133,130,961.4275964655184,1577.9250149491186,0.4740783410138249,0.5151515151515151
