sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
7,overlay_theme_loss_cooldown_5pct_5,2025-09-24,2026-03-04,-0.3676126996462106,8,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-19.98,False,,
7,overlay_theme_loss_cooldown_5pct_8,2025-09-24,2026-03-04,-0.4172040464510208,8,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-17.63,False,,
7,overlay_theme_loss_cooldown_8pct_3,2025-08-28,2026-03-04,-0.4835858263484839,10,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-24.68,False,,
7,overlay_theme_loss_cooldown_8pct_5,2025-09-24,2026-03-04,-0.4153332371812064,9,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-32.91,False,,
7,overlay_theme_loss_cooldown_8pct_8,2025-09-24,2026-03-04,-0.4231291196894119,8,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-30.56,False,,
7,overlay_theme_loss_cooldown_10pct_3,2025-08-28,2026-03-04,-0.6285314564930148,13,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-15.28,False,,
7,overlay_theme_loss_cooldown_10pct_5,2025-08-28,2026-03-04,-0.6166753973662059,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-16.45,False,,
7,overlay_theme_loss_cooldown_10pct_8,2025-08-28,2026-03-04,-0.5924142632192324,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-15.28,False,,
7,overlay_ticker_loss_cooldown_5pct_5,2025-09-24,2026-03-04,-0.42615449454156284,10,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-21.15,False,,
7,overlay_ticker_loss_cooldown_5pct_10,2025-11-06,2026-03-04,-0.33802306909481017,8,"F,INTC,NVAX,RIVN,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-04 NVAX pnl=-28.21,False,,
7,overlay_ticker_loss_cooldown_5pct_15,2025-11-06,2026-03-04,-0.28855574044363663,7,"F,NVAX,RIVN,XPEV","EV / mobility,biotech",2026-03-04 NVAX pnl=-29.38,False,,
7,overlay_ticker_loss_cooldown_8pct_5,2025-09-24,2026-03-04,-0.47432732009208944,11,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-28.21,False,,
7,overlay_ticker_loss_cooldown_8pct_10,2025-11-06,2026-03-04,-0.34084687511531186,8,"F,INTC,NVAX,RIVN,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-04 NVAX pnl=-36.43,False,,
7,overlay_ticker_loss_cooldown_8pct_15,2025-11-06,2026-03-04,-0.28711744638892867,7,"F,NVAX,RIVN,XPEV","EV / mobility,biotech",2026-03-04 NVAX pnl=-39.96,False,,
7,overlay_ticker_loss_cooldown_10pct_5,2025-08-28,2026-03-04,-0.5504555148498118,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-18.80,False,,
7,overlay_ticker_loss_cooldown_10pct_10,2025-08-28,2026-03-04,-0.5504555148498118,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-18.80,False,,
7,overlay_ticker_loss_cooldown_10pct_15,2025-08-28,2026-03-04,-0.5504555148498118,12,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-18.80,False,,
