feature_name,sample_id,winner_count,loser_count,winner_mean,loser_mean,winner_median,loser_median,loser_minus_winner_mean,loser_minus_winner_median,simple_separation_score,missing_rate,notes
relative_volume_prev20,4,8,24,3.689395094086315,2.6555216481618396,3.116363383072845,2.2308154188093825,-1.0338734459244754,-0.8855479642634627,0.6738786165128828,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,4,8,24,-0.03696047307285723,-0.05440015429185577,-0.03179958219464274,-0.023669282221831345,-0.01743968121899854,0.008130299972811394,0.31513964867479327,0.0,distance_from_20d_high_pct_lower_for_losers
distance_from_52w_high_pct,4,8,24,0.027538567124438515,-0.08843170409717616,0.037911557139842955,-0.07464166278368406,-0.11597027122161467,-0.11255321992352701,0.9194932333508773,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,4,8,24,0.13544231620550562,0.05726494112873922,0.09444915761918005,0.05547953123697724,-0.07817737507676639,-0.038969626382202804,0.724142275609436,0.0,return_1d_prior_lower_for_losers
return_5d_prior,4,8,24,0.33780700593559665,0.22961322486657446,0.25703385730614026,0.19704508891577366,-0.1081937810690222,-0.0599887683903666,0.5417351085754788,0.0,return_5d_prior_lower_for_losers
return_10d_prior,4,8,24,0.42997835234850984,0.27597548988003223,0.350350200308727,0.2200576970153565,-0.1540028624684776,-0.1302925032933705,0.6147150550384729,0.0,return_10d_prior_lower_for_losers
return_20d_prior,4,8,24,0.5760277699556438,0.3970558956506251,0.4745413029520923,0.24968711270443977,-0.17897187430501865,-0.22485419024765252,0.41290974103353617,0.0,return_20d_prior_lower_for_losers
max_single_day_loss_20d,4,8,23,-0.07741072155854428,-0.06720407116132056,-0.07480618891050955,-0.057142823607057025,0.010206650397223724,0.017663365303452527,0.2723922740512551,0.03125,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,4,8,23,0.44678749680519103,0.5179478259708572,0.4184999847412109,0.46599998474121096,0.07116032916566617,0.04750000000000004,0.2322514330923463,0.03125,near_max_entry_price_pct_higher_for_losers
atr_pct,5,11,17,0.06366720152487067,0.06477377068576307,0.05490952155174239,0.060121944449829726,0.0011065691608923983,0.005212422898087335,0.03899959833628393,0.0,atr_pct_higher_for_losers
volatility_20d,5,11,16,0.06130300151013884,0.06286083331574119,0.04365927611303966,0.06032498765006858,0.0015578318056023513,0.01666571153702892,0.03477833671866606,0.03571428571428571,volatility_20d_higher_for_losers
entry_gap_pct,5,11,17,0.009249397703102381,0.00637572177646263,-0.0016000366210937589,0.0051958096877757765,-0.002873675926639751,0.006795846308869535,0.07218549976898718,0.0,entry_gap_pct_lower_for_losers
decision_strength,5,11,17,0.6848388801083113,0.6897430755102109,0.6800799420658606,0.7019458250349045,0.004904195401899569,0.021865882969043904,0.0347340011746749,0.0,decision_strength_higher_for_losers
smoke_score,5,11,17,0.9214785794552529,0.9184263121137715,0.9142857142857143,0.9199999999999999,-0.0030522673414814516,0.005714285714285672,0.072980711842452,0.0,smoke_score_lower_for_losers
relative_volume_prev20,5,11,17,5.948057133834795,3.2072958422182882,1.9770146200846728,2.271057927510994,-2.740761291616507,0.29404330742632134,0.33928668366038717,0.0,relative_volume_prev20_lower_for_losers
