sample_id,filter_name,replay_date,ticker,entry_date,entry_price,reference_price,sector_or_theme,reason_excluded,decision_strength,smoke_score,atr_pct,volatility_20d,entry_gap_pct,relative_volume_prev20,baseline_exit_reason,baseline_pnl_dollars,forward_return_20d,stopped_out_then_20d_positive,would_have_been_winner_baseline_simulation,would_have_been_winner_20d
8,volatility_plus_smoke_score,2025-01-13,KTOS,2025-01-14,31.600000381469727,30.889999389648438,space / defense / nuclear,Combination: high_volatility_20d plus minimum_smoke_score.,0.5467199623862006,0.8606060606060606,0.04030431151302226,0.03308983353549532,0.02298481728229551,2.247752388748536,TARGET_1,11.110201421192727,0.03820007538009906,False,True,True
8,volatility_plus_smoke_score,2025-01-30,OKLO,2025-01-31,42.400001525878906,41.90999984741211,space / defense / nuclear,Combination: high_volatility_20d plus minimum_smoke_score.,0.8364658449880248,0.9741935483870968,0.11519413157903463,0.11994025486457247,0.011691760445020627,1.702386153279318,TARGET_1,28.88191621834892,-0.20329278188460242,False,True,False
8,volatility_plus_smoke_score,2025-04-29,SOFI,2025-04-30,12.78499984741211,13.270000457763672,,Combination: high_volatility_20d plus minimum_smoke_score.,0.6364578705085924,0.876470588235294,0.06452793359100574,0.06843229799503595,-0.036548650611975764,2.7457678934008625,TIME_EXIT,5.222148475647003,0.003767839889658342,False,True,True
8,volatility_plus_smoke_score,2025-06-03,JOBY,2025-06-04,8.020000457763672,8.029999732971191,EV / mobility,Combination: high_volatility_20d plus minimum_smoke_score.,0.7156895493789418,0.8516129032258066,0.07173101225635262,0.07450533040820165,-0.0012452397932795067,2.821851105700796,TARGET_1,27.519680437360506,0.2652553157249973,False,True,True
8,volatility_plus_smoke_score,2025-09-17,HUT,2025-09-18,38.400001525878906,37.790000915527344,,Combination: high_volatility_20d plus minimum_smoke_score.,0.4738993738030013,0.8642857142857144,0.05741316087685342,0.05067959478416929,0.01614185222474873,1.6722372213698649,STOP,-16.46432552337643,0.42656783650040353,True,False,True
8,risk_stack_filter,2024-01-23,SMCI,2024-01-24,47.12900161743164,45.737998962402344,semiconductor / hardware,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6883004967033114,0.9621621621621621,0.0742364963662281,,0.030412407332746083,1.9298396054649407,TARGET_1,20.27831475939071,0.6051642284841745,False,True,True
8,risk_stack_filter,2024-02-08,PLTR,2024-02-09,25.040000915527344,24.510000228881836,AI / software,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.758478967252619,1.0,0.054079970101418316,0.07424819726764872,0.021623854822366395,2.742977371940236,STOP,-8.053160481044216,0.06242352804397777,True,False,True
8,risk_stack_filter,2024-02-27,LI,2024-02-28,44.41999816894531,46.209999084472656,,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6790919037348665,0.9411764705882353,0.04083841533130246,0.054698261935092224,-0.038736224864562185,2.935356545378503,STOP,-5.750269401550284,-0.3369400563363353,False,False,False
8,risk_stack_filter,2024-06-12,IREN,2024-06-13,13.630000114440918,13.550000190734863,crypto-adjacent / high beta,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6323485285071875,0.9428571428571428,0.08228782745100957,0.07175666068141263,0.005904053326933223,2.348279613707545,STOP,-11.802910816192622,-0.09151289694933318,False,False,False
8,risk_stack_filter,2024-08-21,RKLB,2024-08-22,7.0,7.0,space / defense / nuclear,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6407374876182986,0.9222222222222222,0.08401021178887814,0.060288140664287705,0.0,1.9166373885646875,STOP,-10.669286685398646,0.024285725184849394,True,False,True
8,risk_stack_filter,2024-08-29,AFRM,2024-08-30,41.5,41.65999984741211,,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.790990990990991,0.9405405405405405,0.05377716904070593,0.07631066548198796,-0.0038406108496913394,7.765986142132342,STOP,-3.4020352810450873,-0.012001920351208506,False,False,False
8,risk_stack_filter,2024-11-15,RKLB,2024-11-18,19.540000915527344,19.0,space / defense / nuclear,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.7966206542240434,0.9225806451612903,0.08368045763861864,0.0763184955713766,0.028421100817228595,2.0792633073712294,TARGET_1,23.751230422428705,0.3631578746594881,False,True,True
8,risk_stack_filter,2024-12-04,IREN,2024-12-05,15.010000228881836,14.270000457763672,crypto-adjacent / high beta,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.5139982252938583,0.8838709677419356,0.09491440226705057,0.10764786885395859,0.05185702504414169,1.9743711244189182,STOP,-16.37322276742117,-0.2053258732435218,False,False,False
8,risk_stack_filter,2025-01-30,OKLO,2025-01-31,42.400001525878906,41.90999984741211,space / defense / nuclear,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.8364658449880248,0.9741935483870968,0.11519413157903463,0.11994025486457247,0.011691760445020627,1.702386153279318,TARGET_1,28.88191621834892,-0.20329278188460242,False,True,False
8,risk_stack_filter,2025-04-02,RIVN,2025-04-03,11.774999618530273,12.489999771118164,EV / mobility,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6457959413694198,0.8914285714285712,0.059533341176812964,0.039926404354953475,-0.057245809903155864,1.8521634723247813,STOP,-13.525585513523623,0.10168138358980738,True,False,True
8,risk_stack_filter,2025-04-29,SOFI,2025-04-30,12.78499984741211,13.270000457763672,,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.6364578705085924,0.876470588235294,0.06452793359100574,0.06843229799503595,-0.036548650611975764,2.7457678934008625,TIME_EXIT,5.222148475647003,0.003767839889658342,False,True,True
8,risk_stack_filter,2025-06-03,JOBY,2025-06-04,8.020000457763672,8.029999732971191,EV / mobility,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.7156895493789418,0.8516129032258066,0.07173101225635262,0.07450533040820165,-0.0012452397932795067,2.821851105700796,TARGET_1,27.519680437360506,0.2652553157249973,False,True,True
8,risk_stack_filter,2025-06-20,RKLB,2025-06-23,28.924999237060547,30.040000915527344,space / defense / nuclear,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.5670176184687236,0.9066666666666666,0.06103767145864564,0.051350593361594275,-0.03711723184037807,1.7831585662185117,TARGET_1,27.35895060130531,0.570905365795678,False,True,True
8,risk_stack_filter,2025-08-29,IREN,2025-09-02,25.59000015258789,26.479999542236328,crypto-adjacent / high beta,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.9761904761904759,1.0,0.08000647486013411,0.057476328833778643,-0.03361024943481827,3.51596182124625,TARGET_1,44.31086977005003,0.7345166578238103,False,True,True
8,risk_stack_filter,2025-10-30,CORZ,2025-10-31,21.975000381469727,20.739999771118164,crypto-adjacent / high beta,"Combination: high_atr_pct, high_volatility_20d, and extreme_entry_gap_pct.",0.7929743416320161,0.9307692307692308,0.06512949272211432,0.03441697744427577,0.059546799613343415,2.4983075362266063,STOP,-20.481534966060053,-0.18563165014259597,False,False,False
