replay_date,decision,ticker,reason,reference_price,shares_with_cash,estimated_total_cost,estimated_cash_remaining,cash_before_decision,smoke_score,decision_strength,relative_volume_prev20,return_5d,return_20d,distance_to_52w_high_prev,dollar_volume,executable_universe_count,rejected_before_ranking_count,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,trade_simulation_status,entry_date,exit_date,exit_reason,entry_price,exit_price,shares,cash_before,cash_after_exit,pnl_dollars,trade_return_pct,account_return_pct
2024-07-16,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,132.32608119147176,132.32608119147176,,,,,,,,0,0,,,,,,,,,,,,0,132.32608119147176,132.32608119147176,,,
2024-07-24,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,132.32608119147176,132.32608119147176,,,,,,,,0,0,,,,,,,,,,,,0,132.32608119147176,132.32608119147176,,,
2024-08-01,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,132.32608119147176,132.32608119147176,,,,,,,,36,62,,,,,,,,,,,,0,132.32608119147176,132.32608119147176,,,
2024-08-09,HISTORICAL_BUY_CANDIDATE,PLTR,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,30.010000228881836,4,120.16004091644285,12.166040275028905,132.32608119147176,0.961111111111111,0.5371169505666097,1.7007192217661555,0.213015380214997,0.06911295173313925,0.0060342040105985095,2644814331.171608,36,62,-0.020993037764422184,0.03298899578699044,0.06897706052599983,0.0589803546905745,0.15294895735528224,EXECUTED,2024-08-12,2024-09-09,TIME_EXIT,30.219999313354492,34.599998474121094,4,132.32608119147176,149.72519783728475,17.399116645812995,0.14493710325238296,0.1314866766184741
2024-08-19,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,0,0,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-08-27,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,0,0,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-09-06,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,0,0,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-09-16,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,37,61,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-09-24,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,36,62,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-10-02,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,36,62,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-10-10,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,149.72519783728475,149.72519783728475,,,,,,,,35,63,,,,,,,,,,,,0,149.72519783728475,149.72519783728475,,,
2024-10-18,HISTORICAL_BUY_CANDIDATE,OKLO,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,18.229999542236328,8,145.9858363342285,3.7393615030562444,149.72519783728475,0.9647058823529411,0.7431372549019607,4.642147675635599,0.992349759809557,1.1676575354333671,-0.030319133933823572,903983748.3005524,34,64,0.22380691311885514,0.003839807821280461,0.048272138793881814,0.18869997917924364,-0.012616541306183393,EXECUTED,2024-10-21,2024-10-28,TARGET_1,19.3700008392334,25.120786837169106,7,149.72519783728475,189.84510981696008,40.11991197967532,0.29689136545041594,0.267956980916973
2024-10-28,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,189.84510981696008,189.84510981696008,,,,,,,,0,0,,,,,,,,,,,,0,189.84510981696008,189.84510981696008,,,
2024-11-05,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,189.84510981696008,189.84510981696008,,,,,,,,31,67,,,,,,,,,,,,0,189.84510981696008,189.84510981696008,,,
2024-11-13,HISTORICAL_BUY_CANDIDATE,RKLB,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,18.829999923706055,10,188.48829923629756,1.3568105806625113,189.84510981696008,0.9935483870967742,0.81505376344086,8.612838900002812,0.44291185045919246,0.6827525138353092,0.2355643180120921,2278454469.7683334,31,67,-0.0780668783489391,0.024429155267396974,0.07169412570045419,0.3632501423420964,0.199150292893997,EXECUTED,2024-11-14,2024-11-14,STOP,19.43000030517578,17.476893050330027,9,189.84510981696008,172.09227452060173,-17.75283529635834,-0.1005201865244173,-0.09351220746994647
2024-11-21,HISTORICAL_BUY_CANDIDATE,AI,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,34.9900016784668,4,140.09996672058105,31.992307800020683,172.09227452060173,0.8625,0.6075627186763058,2.8805644680867526,0.3263837297806036,0.3996000671386719,-0.0864229144785692,455968707.8727722,32,66,0.06944831020039532,0.03915401160806109,0.0625892689812797,0.15804511329018012,0.038582406669385616,EXECUTED,2024-11-22,2024-12-06,TARGET_1,34.5,40.364999771118164,4,172.09227452060173,195.4142736050744,23.32199908447268,0.1699999933657439,0.1355203140259543
2024-12-02,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,195.4142736050744,195.4142736050744,,,,,,,,0,0,,,,,,,,,,,,0,195.4142736050744,195.4142736050744,,,
2024-12-11,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,195.4142736050744,195.4142736050744,,,,,,,,31,67,,,,,,,,,,,,0,195.4142736050744,195.4142736050744,,,
2024-12-19,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,195.4142736050744,195.4142736050744,,,,,,,,31,67,,,,,,,,,,,,0,195.4142736050744,195.4142736050744,,,
2024-12-30,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,195.4142736050744,195.4142736050744,,,,,,,,31,67,,,,,,,,,,,,0,195.4142736050744,195.4142736050744,,,
2025-01-08,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,195.4142736050744,195.4142736050744,,,,,,,,31,67,,,,,,,,,,,,0,195.4142736050744,195.4142736050744,,,
2025-01-17,HISTORICAL_BUY_CANDIDATE,HOOD,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,48.150001525878906,4,192.79260610961913,2.6216674954552843,195.4142736050744,0.9483870967741936,0.6841455257900972,1.7637613450141019,0.20134728857650508,0.15661783066244972,0.027748198379897504,1696160843.7515259,31,67,0.038421566261566786,0.04589821421469442,-0.008515053674333695,0.07788161746961753,0.25524396077588163,EXECUTED,2025-01-21,2025-02-13,TARGET_2,49.93000030517578,64.71100452968051,3,195.4142736050744,239.60749627767308,44.193222672598665,0.29603453102668054,0.22615145688851604
2025-01-28,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,0,0,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-02-05,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,0,0,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-02-13,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,0,0,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-02-24,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,32,66,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-03-04,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,33,65,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-03-12,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,239.60749627767308,239.60749627767308,,,,,,,,35,63,,,,,,,,,,,,0,239.60749627767308,239.60749627767308,,,
2025-03-21,HISTORICAL_BUY_CANDIDATE,KTOS,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,30.809999465942383,7,215.88566625785828,23.721830019814803,239.60749627767308,0.876470588235294,0.6254901960784314,11.110884218134908,0.012487648930518347,0.21826802493415154,-0.13600674150933,1056129809.6931458,34,64,0.055826009190808046,0.019798786787577294,-0.004219382116845027,-0.09704640775548645,0.03602728431003599,EXECUTED,2025-03-24,2025-04-01,STOP,30.969999313354492,28.743571281433105,7,239.60749627767308,223.8057100590299,-15.801786218643173,-0.0718898314912566,-0.06594863042319433
2025-03-31,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,223.8057100590299,223.8057100590299,,,,,,,,0,0,,,,,,,,,,,,0,223.8057100590299,223.8057100590299,,,
2025-04-08,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,223.8057100590299,223.8057100590299,,,,,,,,34,63,,,,,,,,,,,,0,223.8057100590299,223.8057100590299,,,
2025-04-16,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,223.8057100590299,223.8057100590299,,,,,,,,36,62,,,,,,,,,,,,0,223.8057100590299,223.8057100590299,,,
2025-04-25,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,223.8057100590299,223.8057100590299,,,,,,,,35,63,,,,,,,,,,,,0,223.8057100590299,223.8057100590299,,,
2025-05-05,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,223.8057100590299,223.8057100590299,,,,,,,,33,65,,,,,,,,,,,,0,223.8057100590299,223.8057100590299,,,
2025-05-13,HISTORICAL_BUY_CANDIDATE,ACHR,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,11.15999984741211,20,223.4231969451904,0.3825131138395079,223.8057100590299,0.9800000000000001,0.9044444444444446,4.542040610380022,0.3083235869603984,0.5393103237809806,-0.1054108612301855,1024695561.9895935,30,68,0.060931927820184084,0.19175630578695735,0.011648755933546306,-0.018817207976545736,0.09050181386122902,EXECUTED,2025-05-14,2025-05-16,TARGET_1,11.074999809265137,13.14949975694929,20,223.8057100590299,265.0742090165277,41.26849895749777,0.18731376825385282,0.1843943076636114
2025-05-21,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,265.0742090165277,265.0742090165277,,,,,,,,33,65,,,,,,,,,,,,0,265.0742090165277,265.0742090165277,,,
2025-05-30,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,265.0742090165277,265.0742090165277,,,,,,,,31,67,,,,,,,,,,,,0,265.0742090165277,265.0742090165277,,,
